expt_version,subjID,is_test,is_control,instruction_start_ts,instruction_end_ts,expt_start_ts,expt_end_ts,generation_start_ts,generation_end_ts,judgment_start_ts,judgment_end_ts,evaluation_start_ts,evaluation_end_ts,memory_start_ts,memory_end_ts
1,user_1579197963470,False,False,1579197963472,1579197993625,1579197963472,1579198525617,1579198371914,1579198412227,1579198412227,1579198446221,1579198446221,1579198508957,1579198508958,1579198525617
1,user_1579219227658,False,True,1579219227659,1579219262772,1579219227659,1579220263557,1579219983954,1579220086153,1579220086154,1579220145067,1579220145068,1579220241985,1579220241986,1579220263556
1,user_1579305566870,False,True,1579305566870,1579305616525,1579305566870,1579306378050,1579306171205,1579306241798,1579306241798,1579306297449,1579306297449,1579306363768,1579306363769,1579306378050
1,user_1579208200966,False,False,1579208200967,1579208254830,1579208200967,1579209025000,1579208785523,1579208852348,1579208852348,1579208899134,1579208899134,1579208991894,1579208991895,1579209025000
1,user_1579212319954,False,True,1579212319954,1579212366288,1579212319954,1579212985558,1579212729128,1579212866458,1579212866459,1579212900580,1579212900581,1579212969268,1579212969269,1579212985558
1,user_1579219153464,False,True,1579219153465,1579219187783,1579219153465,1579219790877,1579219539293,1579219575596,1579219575597,1579219646661,1579219646662,1579219723516,1579219723517,1579219790877
1,user_1579284342519,False,False,1579284342520,1579284394844,1579284342519,1579284980490,1579284801090,1579284845161,1579284845162,1579284892178,1579284892179,1579284953936,1579284953937,1579284980489
1,user_1579287780266,False,True,1579287780266,1579287809663,1579287780266,1579288206853,1579288052398,1579288096661,1579288096661,1579288120814,1579288120814,1579288184916,1579288184917,1579288206853
1,user_1579284397497,False,True,1579284397498,1579284454724,1579284397498,1579285579889,1579285357699,1579285419449,1579285419450,1579285463179,1579285463179,1579285553103,1579285553105,1579285579889
1,user_1579194691731,False,True,1579194691731,1579194738446,1579194691731,1579195689111,1579195279575,1579195369615,1579195369616,1579195470031,1579195470032,1579195642447,1579195642447,1579195689111
1,user_1579212340838,False,False,1579212340839,1579212400503,1579212340839,1579212860827,1579212688709,1579212712339,1579212712339,1579212748373,1579212748374,1579212836569,1579212836570,1579212860827
1,user_1579212226365,False,True,1579212226366,1579212284793,1579212226366,1579212846011,1579212644062,1579212725154,1579212725155,1579212753252,1579212753253,1579212817712,1579212817713,1579212846010
1,user_1579219158469,False,False,1579219158470,1579219238855,1579219158470,1579219807104,1579219630642,1579219697111,1579219697112,1579219733145,1579219733146,1579219781590,1579219781591,1579219807103
1,user_1579208538125,False,False,1579208538126,1579208588692,1579208538125,1579209465222,1579209227001,1579209258985,1579209258985,1579209301379,1579209301379,1579209433052,1579209433053,1579209465222
1,user_1579194724670,False,False,1579194724671,1579194764238,1579194724670,1579195265899,1579195052499,1579195100552,1579195100553,1579195145972,1579195145973,1579195239689,1579195239690,1579195265898
1,user_1579208807017,False,True,1579208807017,1579208838967,1579208807017,1579209263467,1579209104615,1579209139479,1579209139479,1579209190386,1579209190386,1579209244369,1579209244370,1579209263467
1,user_1579212382927,False,True,1579212382927,1579212420709,1579212382927,1579213478028,1579213193198,1579213288607,1579213288607,1579213360482,1579213360482,1579213449466,1579213449466,1579213478028
1,user_1579194662020,False,False,1579194662021,1579194692039,1579194662021,1579195158508,1579194995853,1579195016139,1579195016140,1579195054029,1579195054029,1579195128188,1579195128188,1579195158508
1,user_1579194695509,False,False,1579194695510,1579194744106,1579194695510,1579196044620,1579195698619,1579195855235,1579195855235,1579195912460,1579195912461,1579195993442,1579195993443,1579196044620
